Emp_ID,Emp_Age,Emp_Gender,Education_Level,Education_Field,Dist_from_home,Company_name,Location_HQ,Industry,Country,Emp_Job_Role,Emp_Job_Level,Emp_Job_Satisfaction,Emp_Salary,Emp_Salary_Hike_Per,Emp_Performance_Rating,OverTime,No_Companies_Worked,Emp_Experience,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager,Work_Life_Balance,Business_Travel,Laid_Off_Count,Laid_Off_Percentage,Laid_Off_Date,Laid_off_Month_Year
412,28,Male,2,Medical,16,Advata,Seattle,Healthcare,United States,Healthcare Representative,2,1,5661,19,3,No,0,9,8,3,0,7,3,Travel_Rarely,32,21%,10/28/22,Oct-22
416,31,Male,3,Technical Degree,7,RenoRun,Montreal,Construction,Canada,Sales Executive,2,4,6929,11,3,No,4,10,8,7,7,7,2,Travel_Rarely,210,43%,10/27/22,Oct-22
417,39,Male,3,Medical,1,Recharge,Los Angeles,Finance,United States,Healthcare Representative,3,4,9613,17,3,No,0,19,18,10,3,7,2,Travel_Rarely,84,17%,10/27/22,Oct-22
419,36,Female,4,Life Sciences,24,MindBody,San Luis Obispo,Fitness,United States,Laboratory Technician,2,2,5674,15,3,No,7,11,9,8,0,8,3,Non-Travel,400,15%,10/26/22,Oct-22
420,32,Male,3,Life Sciences,7,Zillow,Seattle,Real Estate,United States,Sales Executive,2,3,5484,14,3,No,1,13,13,8,4,8,2,Travel_Rarely,300,5%,10/26/22,Oct-22
421,38,Female,2,Life Sciences,25,Cybereason,Boston,Security,United States,Research Director,3,2,12061,17,3,No,3,19,10,8,0,1,3,Travel_Rarely,200,17%,10/26/22,Oct-22
422,58,Male,4,Life Sciences,1,GoFundMe,SF Bay Area,Finance,United States,Healthcare Representative,2,3,5660,13,3,Yes,2,12,5,3,1,2,3,Non-Travel,94,12%,10/26/22,Oct-22
423,31,Male,4,Technical Degree,5,Fundbox,SF Bay Area,Finance,United States,Research Scientist,1,4,4821,12,3,Yes,0,6,5,2,0,3,3,Travel_Rarely,150,42%,10/25/22,Oct-22
424,31,Male,3,Human Resources,2,Embroker,SF Bay Area,Finance,United States,Human Resources,2,1,6410,12,3,No,3,9,2,2,1,0,3,Travel_Rarely,30,12%,10/25/22,Oct-22
425,45,Male,3,Life Sciences,7,Vee,Tel Aviv,HR,Israel,Laboratory Technician,3,1,5210,18,3,No,1,24,24,9,9,11,3,Travel_Frequently,17,50%,10/25/22,Oct-22
426,31,Male,4,Life Sciences,2,Philips,Amsterdam,Healthcare,Netherlands,Research Scientist,1,4,2695,18,3,Yes,0,3,2,2,2,2,1,Travel_Rarely,4000,5%,10/24/22,Oct-22
428,33,Female,4,Life Sciences,5,Cerebral,SF Bay Area,Healthcare,United States,Manager,3,2,11878,11,3,No,6,12,10,6,8,8,3,Travel_Frequently,400,20%,10/24/22,Oct-22
429,39,Male,1,Medical,10,Snyk,Boston,Security,United States,Manager,4,1,17068,14,3,Yes,1,21,21,9,11,10,3,Travel_Rarely,198,14%,10/24/22,Oct-22
430,43,Female,4,Life Sciences,10,Unico,Sao Paulo,Other,Brazil,Laboratory Technician,1,4,2455,19,3,No,0,9,8,7,1,7,3,Travel_Frequently,50,4%,10/24/22,Oct-22
431,49,Female,2,Technical Degree,1,OrCam,Jerusalem,Healthcare,Israel,Healthcare Representative,4,3,13964,12,3,Yes,7,25,7,1,0,7,3,Travel_Rarely,62,16%,10/23/22,Oct-22
433,52,Male,4,Medical,8,Antidote Health,Tel Aviv,Healthcare,Israel,Research Scientist,2,2,4941,15,3,No,2,11,8,2,7,7,2,Travel_Rarely,23,38%,10/23/22,Oct-22
434,27,Female,3,Life Sciences,5,Khoros,Austin,Sales,United States,Research Scientist,1,2,2478,12,3,Yes,1,4,4,3,1,2,2,Travel_Rarely,120,10%,10/21/22,Oct-22
436,32,Female,2,Technical Degree,8,F5,Seattle,Security,United States,Sales Executive,2,2,5228,11,3,Yes,1,13,13,12,11,9,3,Travel_Rarely,100,1%,10/21/22,Oct-22
437,27,Male,3,Life Sciences,2,Elinvar,Berlin,Finance,Germany,Sales Executive,2,3,4478,11,3,Yes,1,5,5,4,0,4,3,Travel_Rarely,43,33%,10/21/22,Oct-22
438,31,Male,3,Marketing,7,Synapsica,New Delhi,Healthcare,India,Sales Executive,2,4,7547,12,3,No,4,13,7,7,1,7,3,Travel_Rarely,30,30%,10/21/22,Oct-22
439,32,Female,4,Medical,2,Hotmart,Belo Horizonte,Marketing,Brazil,Research Scientist,2,4,5055,16,3,No,7,10,7,7,0,7,2,Travel_Rarely,227,12%,10/20/22,Oct-22
440,28,Male,4,Medical,2,Zeus Living,SF Bay Area,Real Estate,United States,Research Scientist,1,4,3464,13,3,Yes,5,5,3,2,2,2,2,Travel_Rarely,64,46%,10/20/22,Oct-22
441,30,Female,2,Medical,28,Loom,SF Bay Area,Product,United States,Research Scientist,2,4,5775,13,3,No,1,11,10,8,1,9,3,Travel_Rarely,23,11%,10/20/22,Oct-22
442,31,Female,2,Life Sciences,7,AtoB,SF Bay Area,Finance,United States,Manufacturing Director,3,3,8943,24,4,No,1,10,10,9,8,9,3,Travel_Frequently,32,30%,10/19/22,Oct-22
444,39,Male,2,Medical,7,InfoSum,London,Security,United Kingdom,Manager,5,4,19272,15,3,No,1,21,21,9,13,3,3,Travel_Frequently,20,12%,10/19/22,Oct-22
445,39,Female,2,Medical,3,Faire,SF Bay Area,Retail,United States,Sales Executive,2,3,5238,18,3,Yes,4,12,1,0,0,0,2,Travel_Rarely,84,7%,10/18/22,Oct-22
446,33,Male,3,Marketing,10,Leafly,Seattle,Retail,United States,Sales Executive,2,4,4682,14,3,No,3,9,7,7,0,1,2,Travel_Frequently,56,21%,10/18/22,Oct-22
447,47,Male,5,Life Sciences,5,Tiendanube,Buenos Aires,Marketing,Argentina,Research Director,5,3,18300,11,3,No,4,21,3,2,1,1,3,Travel_Rarely,50,5%,10/17/22,Oct-22
448,43,Female,4,Life Sciences,10,Flipboard,SF Bay Area,Media,United States,Laboratory Technician,2,3,5257,11,3,No,1,9,9,7,0,0,4,Travel_Frequently,24,21%,10/16/22,Oct-22
449,27,Male,1,Marketing,1,Clear Capital,Reno,Real Estate,United States,Sales Executive,2,2,6349,13,3,Yes,0,6,5,4,1,4,3,Non-Travel,378,27%,10/14/22,Oct-22
450,54,Female,4,Life Sciences,20,Beyond Meat,Los Angeles,Food,United States,Research Scientist,2,3,4869,12,3,No,3,20,4,3,0,3,2,Travel_Frequently,200,19%,10/14/22,Oct-22
451,43,Female,3,Life Sciences,7,Playdots,New York City,Consumer,United States,Healthcare Representative,3,1,9985,16,3,No,8,10,1,0,0,0,2,Travel_Rarely,65,100%,10/13/22,Oct-22
452,45,Male,4,Other,8,Byju's,Bengaluru,Education,India,Research Scientist,2,4,3697,14,3,No,9,12,10,9,9,8,3,Travel_Rarely,2500,5%,10-12-2022,Oct-22
453,40,Male,2,Medical,1,6sense,SF Bay Area,Sales,United States,Sales Executive,2,4,7457,22,4,Yes,2,6,4,3,0,2,2,Travel_Rarely,150,10%,10-12-2022,Oct-22
454,29,Male,4,Other,8,FrontRow,Bengaluru,Education,India,Laboratory Technician,1,1,2119,11,3,Yes,1,7,7,7,0,7,2,Travel_Rarely,130,75%,10-12-2022,Oct-22
455,29,Male,5,Other,9,Noom,New York City,Healthcare,United States,Laboratory Technician,1,4,3983,17,3,No,0,4,3,2,2,2,3,Travel_Rarely,500,10%,10-11-2022,Oct-22
456,30,Female,3,Marketing,5,Brex,SF Bay Area,Finance,United States,Sales Executive,2,3,6118,13,3,No,1,10,10,9,1,2,3,Travel_Rarely,136,11%,10-11-2022,Oct-22
458,27,Female,4,Marketing,8,Pacaso,SF Bay Area,Real Estate,United States,Sales Executive,2,2,6214,18,3,No,1,8,8,7,0,7,3,Travel_Rarely,100,30%,10-11-2022,Oct-22
461,38,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
460,37,Male,2,Medical,5,Udacity,SF Bay Area,Education,United States,Manufacturing Director,2,4,6347,16,3,No,7,8,6,2,0,4,2,Travel_Rarely,55,13%,10-11-2022,Oct-22
461,38,Male,2,Life Sciences,15,Linkfire,Copenhagen,Marketing,Denmark,Research Director,3,4,11510,14,3,Yes,0,12,11,10,2,9,3,Travel_Rarely,35,35%,10-11-2022,Oct-22
462,31,Female,4,Medical,7,Momentive,SF Bay Area,Marketing,United States,Manufacturing Director,3,4,7143,14,3,Yes,1,11,11,9,4,10,2,Travel_Rarely,180,11%,10-10-2022,Oct-22
463,29,Female,1,Marketing,10,Pavilion Data,SF Bay Area,Infrastructure,United States,Sales Executive,2,2,8268,14,3,Yes,1,7,7,7,1,7,3,Travel_Rarely,96,96%,10-10-2022,Oct-22
464,35,Male,4,Technical Degree,5,Redesign Health,New York City,Healthcare,United States,Manufacturing Director,3,2,8095,13,3,No,0,17,16,6,0,13,3,Travel_Rarely,67,20%,10-10-2022,Oct-22
465,23,Male,1,Life Sciences,26,BioMarin,SF Bay Area,Healthcare,United States,Research Scientist,1,4,2904,12,3,No,1,4,4,2,0,2,2,Travel_Rarely,120,4%,10-07-2022,Oct-22
466,41,Male,3,Medical,6,Crypto.com,Singapore,Crypto,Singapore,Manufacturing Director,2,2,6032,15,3,Yes,6,8,5,4,1,2,3,Travel_Rarely,2000,30%,10-06-2022,Oct-22
467,47,Male,1,Medical,4,Peloton,New York City,Fitness,United States,Sales Representative,2,3,2976,19,3,No,3,5,0,0,0,0,3,Travel_Frequently,500,12%,10-06-2022,Oct-22
468,42,Female,5,Life Sciences,23,Turnitin,SF Bay Area,Education,United States,Research Director,4,4,15992,14,3,No,2,16,1,0,0,0,3,Travel_Rarely,51,5%,10-06-2022,Oct-22
469,29,Male,3,Life Sciences,2,Impossible Foods,SF Bay Area,Food,United States,Sales Executive,2,3,4649,14,3,No,1,4,4,3,0,2,2,Non-Travel,50,6%,10-06-2022,Oct-22
470,42,Male,1,Technical Degree,2,Built In,Chicago,Recruiting,United States,Human Resources,1,3,2696,11,3,Yes,0,4,3,2,1,0,3,Travel_Rarely,50,25%,10-05-2022,Oct-22
471,32,Female,3,Medical,2,8x8,SF Bay Area,Support,United States,Laboratory Technician,1,2,2370,13,3,No,1,8,8,0,0,7,3,Travel_Rarely,200,9%,10-04-2022,Oct-22
473,48,Female,1,Medical,29,Homie,Salt Lake City,Real Estate,United States,Manager,3,3,12504,21,4,No,3,15,0,0,0,0,1,Travel_Rarely,40,13%,10-04-2022,Oct-22
474,37,Male,3,Medical,6,WazirX,Mumbai,Crypto,India,Research Scientist,2,1,5974,13,3,Yes,4,13,7,7,6,7,3,Travel_Rarely,60,40%,10-02-2022,Oct-22
475,30,Female,2,Technical Degree,25,Spin,SF Bay Area,Transportation,United States,Sales Executive,2,3,4736,12,3,Yes,7,4,2,2,2,2,4,Non-Travel,78,10%,9/30/22,Sep-22
476,26,Male,3,Life Sciences,1,Mux,SF Bay Area,Infrastructure,United States,Sales Executive,2,3,5296,17,3,No,1,8,8,7,7,7,3,Travel_Rarely,40,20%,9/29/22,Sep-22
477,42,Male,4,Other,2,DocuSign,SF Bay Area,Sales,United States,Healthcare Representative,2,4,6781,23,4,No,3,14,1,0,0,0,3,Travel_Rarely,671,9%,9/28/22,Sep-22
478,21,Female,1,Technical Degree,1,Divvy Homes,SF Bay Area,Real Estate,United States,Sales Representative,1,2,2174,11,3,Yes,1,3,3,2,1,2,3,Travel_Frequently,40,12%,9/27/22,Sep-22
479,36,Female,5,Medical,1,Moss,Berlin,Finance,Germany,Sales Executive,2,4,6653,15,3,No,4,7,1,0,0,0,3,Non-Travel,70,15%,9/23/22,Sep-22
481,36,Male,4,Medical,3,Foxtrot,Chicago,Food,United States,Sales Executive,3,4,9699,11,3,No,4,16,13,9,1,12,3,Travel_Frequently,26,4%,9/23/22,Sep-22
482,57,Male,4,Medical,1,Truiloo,Vancouver,Security,Canada,Healthcare Representative,2,3,6755,11,3,No,2,15,3,2,1,2,3,Travel_Rarely,24,5%,9/23/22,Sep-22
483,40,Female,4,Life Sciences,10,NYDIG,New York City,Crypto,United States,Laboratory Technician,1,3,2213,13,3,Yes,3,10,7,7,1,7,3,Travel_Rarely,110,33%,9/22/22,Sep-22
484,21,Male,2,Medical,9,Kitty Hawk,SF Bay Area,Aerospace,United States,Sales Representative,1,4,2610,24,4,No,1,3,3,2,2,2,2,Non-Travel,100,100%,9/21/22,Sep-22
485,33,Female,3,Marketing,5,Ada,Toronto,Support,Canada,Sales Representative,1,3,2851,13,3,Yes,1,1,1,0,0,0,3,Travel_Rarely,78,16%,9/20/22,Sep-22
486,37,Female,3,Medical,10,99,Sao Paulo,Transportation,Brazil,Laboratory Technician,1,1,3452,20,4,No,6,17,5,4,0,3,3,Travel_Rarely,75,2%,9/20/22,Sep-22
487,46,Female,4,Medical,7,Vesalius Therapeutics,Boston,Healthcare,United States,Manufacturing Director,2,3,5258,14,3,No,2,7,1,0,0,0,4,Non-Travel,29,43%,9/19/22,Sep-22
488,41,Male,3,Marketing,4,Clear,Bengaluru,Finance,India,Sales Executive,2,2,9355,18,3,No,1,8,8,7,7,7,3,Travel_Frequently,190,20%,9/16/22,Sep-22
491,50,Male,3,Technical Degree,10,TrueLayer,London,Finance,United States,Healthcare Representative,3,4,10496,15,3,No,6,20,4,3,1,3,3,Travel_Rarely,40,10%,9/16/22,Sep-22
492,40,Male,2,Marketing,22,LivePerson,New York City,Support,United States,Sales Executive,2,3,6380,12,3,Yes,2,8,6,4,1,0,3,Travel_Rarely,193,11%,9/15/22,Sep-22
493,31,Male,4,Life Sciences,9,Acast,Stockholm,Media,Sweden,Research Scientist,1,2,2657,16,3,Yes,0,3,2,2,2,2,3,Travel_Rarely,70,15%,9/15/22,Sep-22
494,21,Female,3,Life Sciences,12,WorkRamp,SF Bay Area,HR,United States,Sales Representative,1,2,2716,15,3,No,1,1,1,0,0,0,3,Travel_Rarely,35,20%,9/15/22,Sep-22
495,29,Male,3,Life Sciences,23,Twilio,SF Bay Area,Other,United States,Research Scientist,1,4,2201,16,3,No,9,6,3,2,1,2,3,Travel_Rarely,800,11%,9/14/22,Sep-22
496,35,Male,4,Life Sciences,9,Pitch,Berlin,Marketing,Germany,Healthcare Representative,2,2,6540,19,3,No,9,10,1,1,0,0,3,Travel_Rarely,59,30%,9/14/22,Sep-22
497,27,Male,2,Medical,1,Infarm,Berlin,Other,Germany,Laboratory Technician,1,2,3816,11,3,No,1,5,5,2,0,4,3,Travel_Rarely,50,5%,9/14/22,Sep-22
498,28,Male,4,Life Sciences,9,Rubius,Boston,Healthcare,United States,Sales Executive,2,4,5253,16,3,No,1,7,7,5,0,7,3,Travel_Rarely,160,75%,9/13/22,Sep-22
499,49,Male,3,Other,7,Checkout.com,London,Finance,United Kingdom,Healthcare Representative,3,3,10965,24,4,No,8,26,5,2,0,0,3,Travel_Rarely,100,5%,9/13/22,Sep-22
500,51,Female,2,Life Sciences,14,Taboola,New York City,Marketing,United States,Sales Executive,2,4,4936,11,3,No,4,18,7,7,0,7,2,Travel_Rarely,100,6%,9/13/22,Sep-22
501,36,Female,3,Life Sciences,2,Patreon,SF Bay Area,Media,United States,Research Scientist,1,3,2543,13,3,No,4,6,2,2,2,2,3,Travel_Rarely,80,17%,9/13/22,Sep-22
502,34,Male,3,Marketing,19,Compete,Tel Aviv,HR,Israel,Sales Executive,2,4,5304,13,3,Yes,8,9,5,2,0,4,2,Non-Travel,11,28%,09-12-2022,Sep-22
505,55,Female,3,Life Sciences,2,Pomelo Fashion,Bangkok,Retail,Thailand,Manager,4,4,16659,13,3,Yes,2,30,5,4,1,2,3,Travel_Rarely,55,8%,09-08-2022,Sep-22
507,24,Female,4,Marketing,10,Simple Feast,Copenhagen,Food,Denmark,Sales Executive,2,3,4260,12,3,Yes,1,5,5,2,0,3,4,Travel_Rarely,150,100%,09-07-2022,Sep-22
508,30,Male,1,Technical Degree,2,Intercom,SF Bay Area,Support,United States,Sales Representative,1,2,2476,18,3,No,1,1,1,0,0,0,3,Travel_Rarely,49,5%,09-07-2022,Sep-22
510,26,Male,1,Technical Degree,3,Pendo,Raleigh,Product,United States,Research Scientist,1,1,3102,22,4,No,0,7,6,4,0,4,3,Travel_Frequently,45,5%,09-07-2022,Sep-22
511,22,Female,3,Medical,11,Demandbase,SF Bay Area,Sales,United States,Research Scientist,1,2,2244,13,3,No,1,2,2,1,1,2,3,Travel_Rarely,27,3%,09-07-2022,Sep-22
513,36,Male,2,Medical,2,Brave Care,Portland,Healthcare,United States,Sales Executive,3,3,7596,13,3,No,1,10,10,9,9,0,3,Travel_Rarely,40,33%,09-06-2022,Sep-22
514,30,Male,3,Technical Degree,4,Lawgeex,Tel Aviv,Legal,Israel,Research Scientist,1,4,2285,23,4,Yes,9,3,1,0,0,0,3,Travel_Frequently,30,33%,09-06-2022,Sep-22
515,37,Female,3,Life Sciences,14,Kuda,Lagos,Finance,Nigeria,Laboratory Technician,1,1,3034,12,3,No,1,18,18,7,12,17,2,Travel_Rarely,23,5%,09-02-2022,Sep-22
516,40,Female,2,Marketing,2,2TM,Sao Paulo,Crypto,Brazil,Sales Executive,2,2,5715,12,3,No,7,8,5,4,1,3,3,Travel_Rarely,100,15%,09-01-2022,Sep-22
517,42,Female,4,Life Sciences,1,Innovaccer,SF Bay Area,Healthcare,United States,Laboratory Technician,1,1,2576,16,3,No,3,8,5,2,1,2,3,Travel_Rarely,90,8%,09-01-2022,Sep-22
518,37,Male,4,Life Sciences,10,Urban Sports Club,Berlin,Fitness,Germany,Manufacturing Director,2,2,4197,12,3,Yes,2,18,1,0,0,1,2,Travel_Rarely,55,15%,09-01-2022,Sep-22
520,43,Male,3,Life Sciences,12,Snap,Los Angeles,Consumer,United States,Research Director,4,2,14336,11,3,No,1,25,25,10,3,9,3,Travel_Rarely,1280,20%,8/31/22,Aug-22
521,40,Female,3,Medical,2,GoodRx,Los Angeles,Healthcare,United States,Laboratory Technician,2,3,3448,22,4,No,6,20,1,0,0,0,3,Travel_Rarely,140,16%,8/31/22,Aug-22
522,54,Male,2,Medical,5,Smava,Berlin,Finance,Germany,Research Director,5,1,19406,11,3,No,4,24,4,2,1,2,2,Travel_Rarely,100,10%,8/31/22,Aug-22
523,34,Female,4,Marketing,4,Hippo Insurance,SF Bay Area,Finance,United States,Sales Executive,2,3,6538,15,3,No,9,6,3,2,1,2,3,Non-Travel,70,10%,8/31/22,Aug-22
524,31,Female,2,Medical,7,TCR2,Boston,Healthcare,United States,Manufacturing Director,2,1,4306,12,3,No,1,13,13,10,3,12,1,Travel_Rarely,30,20%,8/31/22,Aug-22
525,43,Male,3,Medical,21,Apartment List,SF Bay Area,Real Estate,United States,Laboratory Technician,1,4,2258,20,4,No,7,8,3,2,1,2,3,Travel_Frequently,29,10%,8/31/22,Aug-22
526,43,Female,4,Other,8,Artnight,Berlin,Retail,Germany,Healthcare Representative,2,3,4522,14,3,Yes,4,8,5,2,0,2,3,Travel_Rarely,26,36%,8/31/22,Aug-22
527,25,Female,2,Life Sciences,4,Immersive Labs,Bristol,Security,United Kingdom,Sales Executive,2,4,4487,11,3,Yes,1,5,5,4,1,3,3,Travel_Rarely,38,10%,8/30/22,Aug-22
529,37,Female,5,Medical,25,54gene,Washington D.C.,Healthcare,United States,Research Scientist,2,3,4449,15,3,Yes,3,15,13,11,10,7,3,Non-Travel,95,30%,8/29/22,Aug-22
530,31,Male,2,Life Sciences,1,Argyle,New York City,Finance,United States,Laboratory Technician,1,1,2218,12,3,No,1,4,4,2,3,2,3,Travel_Rarely,20,7%,8/26/22,Aug-22
531,39,Male,1,Life Sciences,1,Loja Integrada,Sao Paulo,Retail,Brazil,Manager,5,3,19197,14,3,Yes,1,21,21,8,1,6,3,Travel_Frequently,25,10%,8/25/22,Aug-22
532,56,Female,3,Life Sciences,6,Reali,SF Bay Area,Real Estate,United States,Sales Executive,4,1,13212,11,3,No,9,36,7,7,7,7,2,Travel_Frequently,140,100%,8/24/22,Aug-22
533,30,Female,3,Technical Degree,12,Loop,Washington D.C.,Finance,United States,Sales Executive,2,3,6577,11,3,No,0,6,5,4,4,4,3,Travel_Rarely,15,20%,8/24/22,Aug-22
534,41,Male,3,Marketing,1,Tier Mobility,Berlin,Transportation,Germany,Sales Executive,3,1,8392,16,3,No,1,10,10,7,0,7,3,Travel_Rarely,180,16%,8/23/22,Aug-22
536,28,Male,2,Medical,17,Packable,New York City,Retail,United States,Laboratory Technician,2,1,4558,12,3,No,1,10,10,0,1,8,3,Travel_Rarely,138,20%,8/23/22,Aug-22
538,25,Male,3,Medical,3,Q4,Toronto,Other,Canada,Laboratory Technician,1,1,4031,13,3,No,5,6,2,2,0,2,3,Travel_Rarely,50,8%,8/23/22,Aug-22
543,52,Male,3,Medical,3,Skedulo,SF Bay Area,HR,United States,Manufacturing Director,3,3,7969,14,3,Yes,2,28,5,4,0,4,3,Travel_Rarely,31,8%,8/23/22,Aug-22
544,45,Male,2,Life Sciences,10,Plato,SF Bay Area,HR,United States,Research Scientist,1,4,2654,21,4,No,3,8,2,2,0,2,2,Travel_Rarely,29,50%,8/23/22,Aug-22
546,52,Female,2,Life Sciences,4,NSO,Tel Aviv,Security,Israel,Manager,4,4,16555,13,3,No,2,31,5,2,1,4,1,Travel_Rarely,100,14%,8/21/22,Aug-22
547,42,Female,2,Life Sciences,29,Tufin,Boston,Security,United States,Research Scientist,2,3,4556,11,3,No,2,19,5,4,0,2,3,Travel_Frequently,55,10%,8/21/22,Aug-22
548,30,Female,3,Life Sciences,2,Amperity,Seattle,Marketing,United States,Manufacturing Director,2,4,6091,20,4,No,2,11,5,4,0,2,3,Travel_Rarely,13,3%,8/20/22,Aug-22
549,60,Female,3,Life Sciences,7,Wayfair,Boston,Retail,United States,Manager,5,1,19566,11,3,No,5,33,29,8,11,10,1,Travel_Rarely,870,5%,8/19/22,Aug-22
550,46,Female,3,Medical,18,Hodlnaut,Singapore,Crypto,Singapore,Manufacturing Director,2,3,4810,14,3,No,2,19,10,7,0,8,2,Travel_Rarely,40,80%,8/19/22,Aug-22
551,42,Female,4,Technical Degree,28,New Relic,SF Bay Area,Infrastructure,United States,Healthcare Representative,2,4,4523,11,3,No,0,7,6,5,0,4,4,Travel_Frequently,110,5%,8/18/22,Aug-22
554,24,Female,1,Technical Degree,1,Wheel,Austin,Healthcare,United States,Sales Representative,1,2,3202,16,3,Yes,1,6,5,3,1,4,3,Travel_Rarely,35,17%,8/18/22,Aug-22
555,34,Female,2,Marketing,6,Malwarebytes,SF Bay Area,Security,United States,Sales Representative,1,3,2351,16,3,No,0,3,2,2,1,0,2,Travel_Frequently,125,14%,8/17/22,Aug-22
556,38,Male,2,Life Sciences,2,Fluke,Sao Paulo,Other,Brazil,Laboratory Technician,1,4,1702,23,4,Yes,1,1,1,0,0,0,3,Travel_Frequently,83,82%,8/17/22,Aug-22
558,40,Female,4,Life Sciences,2,Swyftx,Brisbane,Crypto,Australia,Manager,5,3,18041,14,3,No,0,21,20,15,1,12,3,Travel_Rarely,74,21%,8/17/22,Aug-22
560,26,Female,3,Life Sciences,23,Genesis,New York City,Crypto,United States,Research Scientist,1,4,2886,22,4,No,1,3,3,2,0,2,1,Travel_Rarely,52,20%,8/17/22,Aug-22
562,30,Male,3,Life Sciences,3,AlayaCare,Montreal,Healthcare,Canada,Laboratory Technician,1,4,2097,15,3,No,4,9,5,3,1,4,1,Non-Travel,80,14%,8/16/22,Aug-22
564,29,Male,4,Medical,3,Pliops,Tel Aviv,Data,Israel,Research Director,3,3,11935,18,3,No,1,10,10,2,0,7,3,Travel_Rarely,12,9%,8/16/22,Aug-22
565,29,Female,5,Technical Degree,25,Woven,Indianapolis,HR,United States,Research Scientist,1,2,2546,16,3,No,5,6,2,2,1,1,4,Travel_Rarely,5,15%,8/16/22,Aug-22
566,19,Male,2,Technical Degree,2,Sema4,Stamford,Healthcare,United States,Human Resources,1,4,2564,12,3,No,1,1,1,0,0,0,4,Travel_Rarely,250,13%,8/15/22,Aug-22
567,30,Female,4,Other,22,Blend,SF Bay Area,Finance,United States,Sales Executive,3,1,8412,11,3,No,0,10,9,8,7,8,3,Non-Travel,220,12%,8/15/22,Aug-22
568,57,Male,3,Marketing,29,ContraFect,New York City,Healthcare,United States,Manager,4,4,14118,12,3,No,3,32,1,0,0,0,2,Travel_Rarely,16,37%,8/15/22,Aug-22
569,50,Male,4,Life Sciences,29,Peloton,New York City,Fitness,United States,Manager,4,3,17046,15,3,No,0,28,27,10,15,7,3,Travel_Rarely,784,13%,08-12-2022,Aug-22
571,30,Female,3,Medical,2,Truepill,SF Bay Area,Healthcare,United States,Laboratory Technician,1,4,2564,14,3,No,0,12,11,7,6,7,2,Non-Travel,175,33%,08-11-2022,Aug-22
573,60,Female,3,Marketing,28,Calm,SF Bay Area,Healthcare,United States,Sales Executive,3,1,10266,19,3,No,4,22,18,13,13,11,4,Travel_Frequently,90,20%,08-11-2022,Aug-22
574,47,Female,2,Medical,2,FourKites,Chicago,Logistics,United States,Manufacturing Director,2,4,5070,13,3,No,5,20,5,0,0,4,3,Travel_Rarely,60,8%,08-11-2022,Aug-22
575,46,Male,3,Life Sciences,2,Marketforce,Nairobi,Retail,Kenya,Research Director,4,3,17861,13,3,No,6,26,3,2,0,1,1,Travel_Rarely,54,9%,08-11-2022,Aug-22
577,35,Male,3,Life Sciences,22,Trybe,Sao Paulo,Education,Brazil,Laboratory Technician,1,3,4230,15,3,No,0,6,5,4,4,3,3,Travel_Rarely,47,10%,08-10-2022,Aug-22
578,54,Female,4,Life Sciences,8,Permutive,London,Marketing,United Kingdom,Laboratory Technician,2,3,3780,11,3,No,7,19,1,0,0,0,3,Travel_Rarely,30,12%,08-10-2022,Aug-22
579,34,Male,4,Life Sciences,2,GoHealth,Chicago,Healthcare,United States,Research Scientist,1,3,2768,12,3,No,3,14,7,3,5,7,3,Travel_Rarely,800,20%,08-09-2022,Aug-22
580,46,Female,3,Marketing,10,Hootsuite,Vancouver,Marketing,Canada,Sales Executive,3,4,9071,19,3,Yes,2,15,3,2,1,2,3,Travel_Rarely,400,30%,08-09-2022,Aug-22
581,31,Male,1,Life Sciences,9,Nutanix,SF Bay Area,Infrastructure,United States,Manufacturing Director,3,2,10648,25,4,No,1,13,13,8,0,8,4,Travel_Rarely,270,4%,08-09-2022,Aug-22
582,33,Male,1,Medical,15,Quanterix,Boston,Healthcare,United States,Manager,3,3,13610,12,3,Yes,7,15,7,6,7,7,4,Travel_Rarely,130,25%,08-09-2022,Aug-22
584,33,Male,1,Medical,10,MadeiraMadeira,Curitiba,Retail,Brazil,Laboratory Technician,1,4,3408,13,3,No,7,8,4,3,1,3,3,Travel_Rarely,60,3%,08-09-2022,Aug-22
585,30,Male,1,Marketing,7,Linktree,Melbourne,Consumer,Australia,Sales Representative,1,2,2983,14,3,No,0,4,3,2,1,2,3,Travel_Rarely,50,17%,08-09-2022,Aug-22
586,35,Male,3,Life Sciences,16,Shogun,SF Bay Area,Retail,United States,Healthcare Representative,3,3,7632,12,3,Yes,4,10,8,7,0,0,3,Travel_Rarely,48,30%,08-09-2022,Aug-22
587,31,Male,3,Life Sciences,20,Groupon,Chicago,Retail,United States,Healthcare Representative,3,3,9824,12,3,No,3,12,1,0,0,0,3,Travel_Frequently,500,15%,08-08-2022,Aug-22
590,34,Female,3,Human Resources,23,Loggi,Sao Paulo,Logistics,Brazil,Human Resources,3,1,9950,15,3,Yes,9,11,3,2,0,2,3,Travel_Frequently,500,15%,08-08-2022,Aug-22
591,42,Male,2,Other,5,Perion,Tel Aviv,Marketing,Israel,Laboratory Technician,1,3,2093,17,3,No,4,8,2,2,2,0,3,Travel_Frequently,20,5%,08-08-2022,Aug-22
